timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-10-23T23:37:18,AI-Energy-Tracker,61e13477-2a2f-4b70-b05c-24af2391cce4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0390323999999964,2.8655512091610103e-09,7.341468137140615e-08,60.0,0.0,10.0,6.37709999999932e-07,0.0,9.007583333331896e-08,7.27785833333251e-07,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:37:34,AI-Energy-Tracker,93e3fcbf-d177-4a31-85b4-0089fd09c629,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,9.394946700000006,7.174350020136923e-07,7.636392466321197e-08,60.0,0.0,10.0,0.0001563123833333,0.0,2.590004027777779e-05,0.0001822124236111,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:37:42,AI-Energy-Tracker,2c52f08f-6a9b-421f-8b1c-c70df80a24c0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0570315000000078,4.265237172728e-09,7.478739245377397e-08,60.0,0.0,10.0,9.372600000001322e-07,0.0,1.4601472222221586e-07,1.083274722222348e-06,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:37:49,AI-Energy-Tracker,01f4cdd5-22f3-4968-b13b-bae6c6b87a8f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0083575000000024,5.36205413167751e-10,6.415858967006798e-08,60.0,0.0,10.0,1.2641499999996126e-07,0.0,9.769166666649833e-09,1.3618416666661108e-07,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:00,AI-Energy-Tracker,732d5d9b-9d8f-4e60-b41a-5c796b0c4ef5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4620839000000103,3.5271611611844374e-08,7.633161772536022e-08,60.0,0.0,10.0,7.686833333333236e-06,0.0,1.2713661111110892e-06,8.958199444444326e-06,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:07,AI-Energy-Tracker,5ba56519-938d-494a-9900-61a8efc9abbe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1368617999999912,1.03850724654076e-08,7.587999328818021e-08,60.0,0.0,10.0,2.271616666666887e-06,0.0,3.659591666666826e-07,2.637575833333569e-06,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:14,AI-Energy-Tracker,973a8995-7ae2-42b0-8e9a-345433008b8f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.3646095000000002,2.7784023398575774e-08,7.620213789979622e-08,60.0,0.0,10.0,6.058638333333496e-06,0.0,9.978813888889389e-07,7.056519722222434e-06,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:21,AI-Energy-Tracker,4bc2783e-5f00-44d3-8e60-e5735a33128d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.02975330000001,2.172286891401143e-09,7.300994818727357e-08,60.0,0.0,10.0,4.811966666665057e-07,0.0,7.051555555553554e-08,5.517122222220412e-07,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:29,AI-Energy-Tracker,9a4d0286-f0c2-455b-9e8e-0309b2e700fe,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0081486999999924,5.3252289250856e-10,6.535065624075659e-08,60.0,0.0,10.0,1.2396833333336118e-07,0.0,1.1280555555575548e-08,1.352488888889367e-07,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
2025-10-23T23:38:36,AI-Energy-Tracker,9e4f1c81-ea2c-41e0-a994-f04d57a376a9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.5606394000000137,4.28202813260945e-08,7.637758125114548e-08,60.0,0.0,10.0,9.331098333333424e-06,0.0,1.5442941666666992e-06,1.0875392500000122e-05,Canada,CAN,quebec,,,Windows-10-10.0.26200-SP0,3.9.13,3.0.7,8,AMD Ryzen 3 7320U with Radeon Graphics,,,-71.2,46.8,5.739498138427734,machine,N,1.0
